main,key,origin_code,code_nm,type,size,gap_size,mean,median,min,max,stdev
,EN01174011,1174011,기업결합금액,amount,small,,3803.276685,3819,1652,5936,1646.848822
,S430000100O0,S430000100,"액면가(원,US센트)",amount,small,,1324.365578,500,0,5000,1710.873023
,EN02703021,2703021,개인채권발행금액,amount,small,,2462.421453,1959,1644,3967,868.7034875
,EN01067011,1067011,외환보유액,amount,small,,3684.922371,3680,3465,3893,138.1106819
,I310020532O0,I310020532,순매수대금(기타금융)(백만원),amount,small,,-28.78704432,-7,-2761,2242,533.6330638
,EN01094012,1094012,총여신,amount,small,,1641.253475,1664.3,1441.6,1775.9,120.5347598
,EN01144012,1144012,원자재_에틸렌,amount,small,,1220.234411,1194,1094.23,1419.28,124.7275648
,I310021231O0,I310021231,순매수수량(기관/외국인계)(천주),amount,small,,19.16050354,49,-2835,1284,485.7252417
M116,EN00107501,107501,어음부도업체수,amount,small,,711.7060058,720,494,1001,184.8725956
,I310020931O0,I310020931,순매수수량(등록외국인)(천주),amount,small,,13.20285864,10,-3253,931,426.0855686
,EN01144011,1144011,원자재_나프타,amount,small,,626.0448597,497,400.03,926.15,212.1083074
,I310021131O0,I310021131,순매수수량(외국인계)(천주),amount,small,,19.2368214,18,-3240,916,427.9486993
M117,EN01143011,1143011,원자재_열연,amount,small,,637.5958563,677,466,718,93.41397112
M116,EN01182011,1182011,부도법인수,amount,small,,525.7317073,516,393,705,114.4666059
,EN02703011,2703011,국채발행금액,amount,small,,547.7705219,545,453,617,64.5556707
M117,EN01143012,1143012,원자재_철수입,amount,small,,339.0062943,352,267,406,57.22469378
,I310023131O0,I310023131,순매수수량(사모펀드)(천주),amount,small,,3.617755049,1,-163,346,68.32590016
,EN02703012,2703012,회사채발행금액,amount,small,,270.8263834,269,267,279,4.448884024
,EN01219012,1219012,건설투자동향,amount,small,,219.3901915,211.5,196.3,251.1,21.35641724
,I310024131O0,I310024131,순매수수량(국가)(천주),amount,small,,6.144112248,3,-178,242,42.73621451
,EN01144013,1144013,원자재_두바이원유,amount,small,,68.25120378,53.1,41.36,105.33,25.78126131
,EN01081011,1081011,일반회사채발행규모,amount,small,,35.90820876,41,24,42,7.183224057
,BKMKBOK041,MKBOK041,수출-수입액(한국),amount,small,,16.25305009,15.4475,14.18,18.955,1.807712637
,P6000909041O0,P6000909041,"배당금지급(영업,투자,재무)(억원)",amount,small,,-4414.825551,-2010.895021,-69107.84878,0,7753.834498
M008,6000904001D3,6000904001,매출액(천원)_연속감소,count,,,0.605635739,0,0,3,0.89746255
M118,DR00000005,5,y1_매매거래정지,count,,,0.044846577,0,0,4,0.256226544
,DR00000006,6,y1_횡령및배임,count,,,0.002491477,0,0,1,0.049852473
,DR00000007,7,y1_회생절차폐지,count,,,0,0,0,0,0
,DR00000008,8,y1_회생절차,count,,,0.001835825,0,0,1,0.042807179
,DR00000009,9,y1_회사분할합병,count,,,0.059402046,0,0,3,0.245091031
,DR00000010,10,y1_현저한시황변동_급락,count,,,0.006949908,0,0,2,0.087683459
,DR00000011,11,y1_현저한시황변동_급등,count,,,0.064647259,0,0,3,0.274143374
,DR00000012,12,y1_현저한시황변동,count,,,0.161814844,0,0,9,0.482355942
,DR00000013,13,y1_해산사유발생,count,,,0.000655652,0,0,1,0.025597301
,DR00000014,14,y1_풍문또는보도,count,,,0.037241018,0,0,5,0.214056138
,DR00000015,15,y1_풋백옵션계약,count,,,0.002098085,0,0,1,0.045756787
,DR00000016,16,y1_투자자보호관련,count,,,0,0,0,0,0
,DR00000017,17,y1_타인담보결정,count,,,0,0,0,0,0
M113,DR00000018,18,y1_타법인주식및출자증권양도,count,,,0.023603462,0,0,4,0.177309561
,DR00000019,19,y1_최대주주변동,count,,,0.838971938,0,0,12,1.924835187
,DR00000020,20,y1_채무인수,count,,,0,0,0,0,0
,DR00000021,21,y1_채무보증,count,,,0,0,0,0,0
,DR00000022,22,y1_채무면제,count,,,0,0,0,0,0
,DR00000023,23,y1_조건부자본발행,count,,,0,0,0,0,0
,DR00000024,24,y1_자산및영업양수도,count,,,0.096380803,0,0,6,0.336237047
,DR00000025,25,y1_자사주취득해지,count,,,0.076973512,0,0,4,0.316479899
,DR00000026,26,y1_자사주취득,count,,,0.153291372,0,0,8,0.490641822
,DR00000027,27,y1_자기주식처분,count,,,0.156045109,0,0,12,0.607487411
M119,DR00000028,28,y1_유상증자,count,,,0.150931025,0,0,6,0.508423458
,DR00000029,29,y1_유무상증자,count,,,0.00367165,0,0,1,0.060482796
,DR00000030,30,y1_위험기업우려,count,,,0.016784684,0,0,5,0.181728869
,DR00000031,31,y1_위법사유발생,count,,,0.000262261,0,0,1,0.016192341
,DR00000032,32,y1_영업정지,count,,,0.005769735,0,0,2,0.082374074
,DR00000033,33,y1_업종변경,count,,,0.00380278,0,0,1,0.06154932
,DR00000034,34,y1_심사위원회속개,count,,,0.001704694,0,0,2,0.047183788
,DR00000035,35,y1_소송등의제기,count,,,0.009965906,0,0,4,0.137052728
,DR00000036,36,y1_상장폐지이의신청,count,,,0.002491477,0,0,1,0.049852473
,DR00000037,37,y1_사외이사변경에관한신고,count,,,0.506425387,0,0,7,0.661419009
M120,DR00000038,38,y1_불성실공시,count,,,0.055205875,0,0,6,0.326260859
,DR00000039,39,y1_무상증자,count,,,0.026488329,0,0,2,0.164614705
M121,DR00000040,40,y1_메자닌채권발행,count,,,0.165617624,0,0,7,0.535621355
,DR00000041,41,y1_공개매수,count,,,0.002884868,0,0,2,0.062654512
,DR00000042,42,y1_경영위임해지,count,,,0,0,0,0,0
,DR00000043,43,y1_경영위임,count,,,0,0,0,0,0
,DR00000044,44,y1_개선기간부여,count,,,0.002229216,0,0,1,0.047161917
,DR00000045,45,y1_감자,count,,,0.013768686,0,0,2,0.119857797
,DR00000046,46,y1_보증및출자법인파산,count,,,0.005638605,0,0,4,0.102906579
,DR00000047,47,y1_감사위원중도퇴임,count,,,0.075399948,0,0,3,0.280413371
M112,DR00000048,48,y1_소액공모,count,,,0.030291109,0,0,2,0.180334928
,DR00000049,49,y1_주주총회소집,count,,,1.141883032,1,0,6,0.519042391
,DR00000050,50,y1_지정자문인계약해지,count,,,0,0,0,0,0
,DR00000051,51,y1_손익구조급변동,count,,,0.80907422,1,0,2,0.396022061
M111,DR00000052,52,y1_대표이사변경,count,,,0.147915028,0,0,4,0.438919567
,DR00000053,53,y1_금전대여,count,,,0.035536323,0,0,5,0.231124475
M122,DR00000054,54,y1_투자주의,count,,,0.481117231,0,0,9,0.992482951
,DR00000055,55,y1_원리금연체,count,,,0.005769735,0,0,4,0.096995334
M123,DR00000056,56,y1_추가상장,count,,,0.683451351,0,0,12,1.418650432
,DR00000057,57,y1_유동성공급계약해지,count,,,0.00380278,0,0,1,0.06154932
,DR00000058,58,y1_상호변경,count,,,0.05337005,0,0,4,0.311354829
M118,DR00000059,59,y2_매매거래정지,count,,,0.084316811,0,0,5,0.363345524
,DR00000060,60,y2_횡령및배임,count,,,0.004458432,0,0,1,0.066622474
,DR00000061,61,y2_회생절차폐지,count,,,0,0,0,0,0
,DR00000062,62,y2_회생절차,count,,,0.00393391,0,0,1,0.062597401
,DR00000063,63,y2_회사분할합병,count,,,0.117755049,0,0,4,0.359986589
,DR00000064,64,y2_현저한시황변동_급락,count,,,0.014030947,0,0,2,0.125179488
,DR00000065,65,y2_현저한시황변동_급등,count,,,0.131785995,0,0,5,0.422075578
,DR00000066,66,y2_현저한시황변동,count,,,0.296616837,0,0,13,0.686600683
,DR00000067,67,y2_해산사유발생,count,,,0.001704694,0,0,2,0.047183788
,DR00000068,68,y2_풍문또는보도,count,,,0.076580121,0,0,5,0.325761874
,DR00000069,69,y2_풋백옵션계약,count,,,0.004196171,0,0,2,0.066639507
,DR00000070,70,y2_투자자보호관련,count,,,0,0,0,0,0
,DR00000071,71,y2_타인담보결정,count,,,0,0,0,0,0
M113,DR00000072,72,y2_타법인주식및출자증권양도,count,,,0.036191975,0,0,5,0.235798028
,DR00000073,73,y2_최대주주변동,count,,,1.714922633,0,0,24,3.672828938
,DR00000074,74,y2_채무인수,count,,,0,0,0,0,0
,DR00000075,75,y2_채무보증,count,,,0.00013113,0,0,1,0.011450465
,DR00000076,76,y2_채무면제,count,,,0,0,0,0,0
,DR00000077,77,y2_조건부자본발행,count,,,0,0,0,0,0
,DR00000078,78,y2_자산및영업양수도,count,,,0.191188041,0,0,9,0.498785285
,DR00000079,79,y2_자사주취득해지,count,,,0.154471545,0,0,7,0.49625301
,DR00000080,80,y2_자사주취득,count,,,0.307369525,0,0,10,0.781500456
,DR00000081,81,y2_자기주식처분,count,,,0.320351429,0,0,22,1.116148863
M119,DR00000082,82,y2_유상증자,count,,,0.285601888,0,0,11,0.847850918
,DR00000083,83,y2_유무상증자,count,,,0.007343299,0,0,1,0.085377838
,DR00000084,84,y2_위험기업우려,count,,,0.0306845,0,0,7,0.26777728
,DR00000085,85,y2_위법사유발생,count,,,0.000393391,0,0,1,0.019830186
,DR00000086,86,y2_영업정지,count,,,0.011014949,0,0,2,0.116259308
,DR00000087,87,y2_업종변경,count,,,0.00380278,0,0,1,0.06154932
,DR00000088,88,y2_심사위원회속개,count,,,0.003147128,0,0,3,0.06863518
,DR00000089,89,y2_소송등의제기,count,,,0.019407291,0,0,5,0.211499871
,DR00000090,90,y2_상장폐지이의신청,count,,,0.00367165,0,0,2,0.064673719
,DR00000091,91,y2_사외이사변경에관한신고,count,,,0.977576711,1,0,11,1.019297518
M120,DR00000092,92,y2_불성실공시,count,,,0.10700236,0,0,7,0.47140722
,DR00000093,93,y2_무상증자,count,,,0.054287962,0,0,3,0.256447104
M121,DR00000094,94,y2_메자닌채권발행,count,,,0.313270391,0,0,10,0.850833583
,DR00000095,95,y2_공개매수,count,,,0.006818778,0,0,2,0.089908762
,DR00000096,96,y2_경영위임해지,count,,,0,0,0,0,0
,DR00000097,97,y2_경영위임,count,,,0,0,0,0,0
,DR00000098,98,y2_개선기간부여,count,,,0.003147128,0,0,2,0.060512356
,DR00000099,99,y2_감자,count,,,0.023734592,0,0,3,0.162229435
,DR00000100,100,y2_보증및출자법인파산,count,,,0.011146079,0,0,5,0.165964657
,DR00000101,101,y2_감사위원중도퇴임,count,,,0.180041962,0,0,4,0.454283224
M112,DR00000102,102,y2_소액공모,count,,,0.057959612,0,0,4,0.301317557
,DR00000103,103,y2_주주총회소집,count,,,2.26724364,2,0,9,0.842840403
,DR00000104,104,y2_지정자문인계약해지,count,,,0.00013113,0,0,1,0.011450465
,DR00000105,105,y2_손익구조급변동,count,,,1.604904275,2,0,3,0.640508643
M111,DR00000106,106,y2_대표이사변경,count,,,0.284159454,0,0,6,0.687952837
,DR00000107,107,y2_금전대여,count,,,0.065958563,0,0,8,0.352917265
M122,DR00000108,108,y2_투자주의,count,,,1.014162077,0,0,15,1.648596129
,DR00000109,109,y2_원리금연체,count,,,0.010228167,0,0,4,0.127104474
M123,DR00000110,110,y2_추가상장,count,,,1.342119066,0,0,24,2.483948242
,DR00000111,111,y2_유동성공급계약해지,count,,,0.007867821,0,0,2,0.089823041
,DR00000112,112,y2_상호변경,count,,,0.104379753,0,0,5,0.451258362
M118,DR00000113,113,y3_매매거래정지,count,,,0.124704957,0,0,6,0.464925791
,DR00000114,114,y3_횡령및배임,count,,,0.006163126,0,0,1,0.078263287
,DR00000115,115,y3_회생절차폐지,count,,,0,0,0,0,0
,DR00000116,116,y3_회생절차,count,,,0.004982953,0,0,2,0.072252224
,DR00000117,117,y3_회사분할합병,count,,,0.172043011,0,0,5,0.453196181
,DR00000118,118,y3_현저한시황변동_급락,count,,,0.021111985,0,0,2,0.154315902
,DR00000119,119,y3_현저한시황변동_급등,count,,,0.1944663,0,0,5,0.540590356
,DR00000120,120,y3_현저한시황변동,count,,,0.391424076,0,0,15,0.813326514
,DR00000121,121,y3_해산사유발생,count,,,0.003015998,0,0,3,0.069589701
,DR00000122,122,y3_풍문또는보도,count,,,0.112640965,0,0,5,0.408447614
,DR00000123,123,y3_풋백옵션계약,count,,,0.006556517,0,0,2,0.085441859
,DR00000124,124,y3_투자자보호관련,count,,,0,0,0,0,0
,DR00000125,125,y3_타인담보결정,count,,,0,0,0,0,0
M113,DR00000126,126,y3_타법인주식및출자증권양도,count,,,0.037634409,0,0,5,0.242970656
,DR00000127,127,y3_최대주주변동,count,,,2.639784946,0,0,36,5.399603307
,DR00000128,128,y3_채무인수,count,,,0,0,0,0,0
,DR00000129,129,y3_채무보증,count,,,0.000786782,0,0,2,0.032379372
,DR00000130,130,y3_채무면제,count,,,0,0,0,0,0
,DR00000131,131,y3_조건부자본발행,count,,,0,0,0,0,0
,DR00000132,132,y3_자산및영업양수도,count,,,0.286650931,0,0,10,0.631312192
,DR00000133,133,y3_자사주취득해지,count,,,0.230396014,0,0,9,0.644551312
,DR00000134,134,y3_자사주취득,count,,,0.469840021,0,0,12,1.036418109
,DR00000135,135,y3_자기주식처분,count,,,0.485182271,0,0,32,1.601075956
M119,DR00000136,136,y3_유상증자,count,,,0.394964595,0,0,16,1.10029242
,DR00000137,137,y3_유무상증자,count,,,0.010752688,0,0,1,0.103136162
,DR00000138,138,y3_위험기업우려,count,,,0.041699449,0,0,7,0.312082835
,DR00000139,139,y3_위법사유발생,count,,,0.000524521,0,0,1,0.022896424
,DR00000140,140,y3_영업정지,count,,,0.015735641,0,0,2,0.138418497
,DR00000141,141,y3_업종변경,count,,,0.00380278,0,0,1,0.06154932
,DR00000142,142,y3_심사위원회속개,count,,,0.004458432,0,0,3,0.085576992
,DR00000143,143,y3_소송등의제기,count,,,0.0306845,0,0,6,0.280220359
,DR00000144,144,y3_상장폐지이의신청,count,,,0.004327301,0,0,2,0.06952048
,DR00000145,145,y3_사외이사변경에관한신고,count,,,1.398242853,1,0,13,1.330389639
M120,DR00000146,146,y3_불성실공시,count,,,0.155782848,0,0,9,0.577909857
,DR00000147,147,y3_무상증자,count,,,0.083661159,0,0,4,0.345558188
M121,DR00000148,148,y3_메자닌채권발행,count,,,0.435746132,0,0,10,1.061757792
,DR00000149,149,y3_공개매수,count,,,0.010883819,0,0,2,0.111080714
,DR00000150,150,y3_경영위임해지,count,,,0,0,0,0,0
,DR00000151,151,y3_경영위임,count,,,0,0,0,0,0
,DR00000152,152,y3_개선기간부여,count,,,0.00367165,0,0,2,0.064673719
,DR00000153,153,y3_감자,count,,,0.034093889,0,0,6,0.207749038
,DR00000154,154,y3_보증및출자법인파산,count,,,0.014686598,0,0,6,0.195797408
,DR00000155,155,y3_감사위원중도퇴임,count,,,0.30933648,0,0,5,0.610820694
M112,DR00000156,156,y3_소액공모,count,,,0.085103593,0,0,6,0.422884542
,DR00000157,157,y3_주주총회소집,count,,,3.344086022,3,0,13,1.143237353
,DR00000158,158,y3_지정자문인계약해지,count,,,0.000524521,0,0,1,0.022896424
,DR00000159,159,y3_손익구조급변동,count,,,2.377393129,3,0,4,0.869528344
M111,DR00000160,160,y3_대표이사변경,count,,,0.407159717,0,0,8,0.894718093
,DR00000161,161,y3_금전대여,count,,,0.091004458,0,0,10,0.440066947
M122,DR00000162,162,y3_투자주의,count,,,1.554419093,1,0,18,2.229311332
,DR00000163,163,y3_원리금연체,count,,,0.014424338,0,0,4,0.147722159
M123,DR00000164,164,y3_추가상장,count,,,1.951350643,0,0,35,3.395530746
,DR00000165,165,y3_유동성공급계약해지,count,,,0.012326252,0,0,2,0.117251354
,DR00000166,166,y3_상호변경,count,,,0.14896407,0,0,7,0.550466128
,3001403004J0,3001403004,순운전자본증가율(전년동기)(%)_증감,rate,,,0.01779701,0,-5149.13,5147.37,118.1742775
,6000909101J1,6000909101,영업활동으로인한현금흐름(평균)(천원)_증감,rate,,,0.024923107,-0.040239479,-1199.86794,3037.10653,39.98665257
,6000102001J1,6000102001,부채비율(%)_증감,rate,,,5.968600839,-0.99,-82374.23,79727.15,1539.465051
,6000103007J1,6000103007,총자산/총자본(%)_증감,rate,,,5.968600839,-0.99,-82374.23,79727.15,1539.465051
,3001104004J0,3001104004,이자보상배율(배)_증감,rate,,,462.2470102,0,-10350292.08,5562017,148143.7632
,3001104004J1,3001104004,이자보상배율(배)_증감,rate,,,462.2470102,0,-10350292.08,5562017,148143.7632
,6000701032J1,6000701032,EBITDA(천원)_증감,rate,,,159.5580535,-1.356679945,-167459.2152,1669225.328,19298.20212
,6000901071J1,6000901071,일반사채(천원)_증감,rate,,,0.726626257,0,-100,6549.392455,102.6363624
,6000601003J1,6000601003,수정EPS(원)_증감,rate,,,770.7077037,-17.78006332,-260664.6154,6303835,72277.81313
M059,6000908001J1,6000908001,당기순이익(천원)_증감,rate,,,273.3735773,-14.99846917,-321992.0115,2235188.012,26319.55334
,6000901070J1,6000901070,사채(천원)_증감,rate,,,4068.638199,0,-100,31018576.19,355177.1365
,6000901015J1,6000901015,관계기업등지분관련투자자산(천원)_증감,rate,,,2651.265226,0,-100,19814376,226888.3881
,6000901019J1,6000901019,*총금융자산(천원)_증감,rate,,,2515.304187,2.155689468,-100,17519600,200665.6523
,6000901042J1,6000901042,건설중인자산(천원)_증감,rate,,,3479.36896,0,-100,21708623.53,248987.1993
,6000903009J1,6000903009,*유보액(천원)_증감,rate,,,16.45543242,5.439561716,-26253.40489,99129.19449,1246.363621
,6000204025O0,6000204025,EBITDA증가율(전년동기)(%),rate,,,321.1685531,5.15,-100,1669225.33,21439.47132
,6000208013O0,6000208013,EBITDAPS증가율(전년동기)(%),rate,,,275.9752472,3.265,-100,1427930.85,18343.23665
,6000906020J1,6000906020,이자비용(비영업)(천원)_증감,rate,,,1036.067276,-5.201723122,-511.2412643,4749392.593,56385.33694
,6000403002J1,6000403002,자본금회전율(회)_증감,rate,,,0.652554419,0.07,-2440.35,2853.68,52.82959526
,6000208048O0,6000208048,"EPS증가율(보통주,전년동기)(%)",rate,,,1494.349812,3.095,-99.59,6452059.34,94775.50398
,6000208001O0,6000208001,EPS증가율(전년동기)(%),rate,,,1496.907456,3.11,-99.59,6452059.34,94765.53833
M020,6000904001D5,6000904001,영업자산회전율,rate,,,221.1908404,6.549730644,0,807836.0757,9768.228813
,6000701061J1,6000701061,수정PBR(배)_증감,rate,,,0.123054026,0,-118.16,395.99,5.316376236
,6000701068J1,6000701068,수정PSR(배)_증감,rate,,,0.26472856,0.01,-754.97,827.73,16.2720323
,6000105004O0,6000105004,현금흐름/영업수익(%),rate,,,2.242168896,5.93,-4452.36,6582.78,120.0629608
,6000705001J1,6000705001,"배당금(보통주,현금+주식)(천원)_증감",rate,,,7.584919086,0,-100,20177.44847,248.0962058
M067,6000909041D1,6000909041,배당성향,rate,,,0.249344158,0.01400392,-62.82340726,649.6222967,7.759529307
,6000991010J1,6000991010,투자부동산(천원)_증감,rate,,,37.13027977,0,-100,90363.47833,1246.478375
,1001113580J1,1001113580,매출채권(천원)_증감,rate,,,29.06978558,0.925233539,-100,69548.77966,890.5713502
M039,6000908001D3,6000908001,당기순이익/총자산(천원),rate,,,0.001701778,0.024254636,-4.120601632,4.076214315,0.180104963
M014,3001104004D1,3001104004,이자보상배율(배)_평균3년,rate,,,4911.64879,7.07,0.01,10350292.08,162517.7377
M034,6000701032D2,6000701032,EBITDA/이자비용(천원),rate,,,1454.895912,8.30972777,-3105471.1,2930859.7,61180.42317
M013,3001104004O0,3001104004,이자보상배율(배),rate,,,2990.865427,5.31,0,5562017,99091.90698
,6000903016J1,6000903016,이익잉여금(천원)_증감,rate,,,11.4099375,7.054347757,-15624.65602,20935.10321,514.1666162
,3001104004D2,3001104004,이자보상배율(배)_변동성3년,rate,,,2136.936701,1.607675627,0,3718840.175,65720.62153
,6000204028O0,6000204028,*조정영업이익증가율(전년동기)(%),rate,,,76.09542717,4.735,-100,116066.34,1652.349668
,6000204001O0,6000204001,영업이익증가율(전년동기)(%),rate,,,76.26772616,4.67,-100,116066.34,1652.02578
,6000208019O0,6000208019,CFPS증가율(전년동기)(%),rate,,,135.0587384,3.4,-99.98,197331.82,3644.643314
,3001212005O0,3001212005,순운전자본증가율(전년동기)(%),rate,,,64.80794881,1.25,-99.76,87838.28,1386.599592
M018,6000906020D3,6000906020,이자비용(비영업)/순차입부채(천원),rate,,,0.016242363,0.030696206,-41.53020348,23.30513484,0.825012366
,6000201008O0,6000201008,매출총이익증가율(전년동기)(%),rate,,,45.72999031,4.52,-100,61225.01,912.256301
,6000612005J1,6000612005,"수정DPS(보통주,현금+주식)(원)_증감",rate,,,4.805746062,0,-100,6406.493506,106.610052
,6000906009J1,6000906009,이자수익(비영업)(천원)_증감,rate,,,51.02596447,-8.33416224,-100,66176.78571,1144.080694
,6000208023O0,6000208023,SPS증가율(전년동기)(%),rate,,,5.994954104,1.33,-100,7548.48,104.7119563
,6000601032J1,6000601032,수정SPS(원)_증감,rate,,,6.008630419,1.33705152,-100,7548.701947,104.7170465
M097,6000904001D9,6000904001,경영자산회전율,rate,,,2.048410581,1.561806474,-2541.544246,1981.638418,42.75442403
M063,S430000100D1,S430000100,수정주가(20일평균)/액면가,rate,,,109.1474033,9.762,0.034,105096,2165.350193
,6000203022O0,6000203022,당기순이익증가율(전년동기)(%),rate,,,141.7172767,4.74,-99.99,114192.14,2153.347424
,6000103004J1,6000103004,유보율(%)_증감,rate,,,71.85270915,25.58,-54501.04,55344.93,1106.641704
,6000103006J1,6000103006,유보액/총자산(%)_증감,rate,,,0.066904013,0.21,-70.57,71.34,7.89111027
M110,ETFXUSD,FXUSD,주요국환율증감_미국(%),rate,,Y,-0.018592352,3.114334471,-11.34464212,6.622998544,6.532647524
,6000706025J1,6000706025,"배당률(보통주,현금+주식)(%)_증감",rate,,,2.018381852,0,-763,1450,32.83719542
,6000908001D6,6000908001,산업대비수익비율,rate,,,0.034062835,0.002448478,-13.27252492,23.67424336,0.533997437
M084,6000902001D3,6000902001,총부채/총자본(천원),rate,,,1.266288493,0.731401431,-665.9569042,845.1024336,14.64257311
M045,6000102001O0,6000102001,부채비율(%),rate,,,141.1802201,73.66,1.55,84510.24,1246.178003
,6000601036J1,6000601036,수정BPS(원)_증감,rate,,,2.810213918,3.916720707,-1593.003594,1637.935636,52.62889151
,I31000180FO0,I31000180F,수익률 (6개월)(%),rate,,,0.208373984,-0.88,-38.21,154.25,14.94377054
,6000906072J1,6000906072,영업수익(천원)_증감,rate,,,10.18762288,3.045327694,-100,5604.367972,92.58563233
,6000201009O0,6000201009,영업수익증가율(전년동기)(%),rate,,,10.18765408,3.045,-100,5604.37,92.58566505
,6000904001J1,6000904001,매출액(천원)_증감,rate,,,10.19116958,3.043939116,-100,5604.367972,92.58782224
M071,6000201001O0,6000201001,매출액증가율(전년동기)(%),rate,,,10.19120115,3.04,-100,5604.37,92.58785481
,6000901045J1,6000901045,*단기유동성(천원)_증감,rate,,,64.54900071,5.87935682,-99.85053388,35624.1791,764.4113918
M073,6000908001D4,6000908001,시장자산순수익률,rate,,,0.013109928,0.032600725,-9.184029193,7.478948371,0.285047848
,6000701068O0,6000701068,수정PSR(배),rate,,,2.377167585,0.75,0,1176.81,20.31339388
,6000305009O0,6000305009,EBITDA마진율(%),rate,,,5.279274849,7.48,-4703.78,2467.84,81.16292054
M100,6000901002J1,6000901002,유동자산(천원)_증감,rate,,,10.47233728,3.948311801,-98.13206318,4148.145449,77.01319734
M090,6000902003J1,6000902003,유동부채(천원)_증감,rate,,,19.53268611,2.959358763,-98.62378157,7744.939737,151.6054248
,6000901013J1,6000901013,비유동자산(천원)_증감,rate,,,13.73767157,2.589400875,-99.47240874,5267.656013,96.02072758
,6000903001J1,6000903001,총자본(천원)_증감,rate,,,9.285163267,5.29236265,-4875.001104,3595.946656,100.9662703
,6000103007O0,6000103007,총자산/총자본(%),rate,,,241.1802201,173.66,101.55,84610.24,1246.178003
M076,S430000600D1,S430000600,시장대비규모비율,rate,,,0.000567829,7.58163E-05,2.6463E-06,0.201737616,0.004996125
,6000901005J1,6000901005,당좌자산(천원)_증감,rate,,,12.51800009,4.302571374,-98.53346047,4142.055709,81.67324954
M088,6000904001D8,6000904001,매출액/총자본(천원),rate,,,2.095250318,1.45265431,-453.0525542,679.3458801,11.26418862
,6000208027O0,6000208027,BPS증가율(전년동기)(%),rate,,,5.049009914,4.02,-99.85,1637.95,36.92848842
,3001403004O0,3001403004,순운전자본회전율(회),rate,,,16.3600437,5.18,0,5219.32,105.7354243
,6000306003O0,6000306003,ROA(당기순이익)(%),rate,,,0.722411487,2.49,-318.88,252.03,14.18906208
M089,6000207003O0,6000207003,총자본증가율(전년동기)(%),rate,,,12.29001984,5.43,-99.85,3595.95,74.70328118
,P6000204025O0,P6000204025,EBITDA증가율(전년동기)(%),rate,,,39.05071237,6.06,-98.54,11687.72,441.2448031
,6000206001O0,6000206001,총부채증가율(전년동기)(%),rate,,,16.52381589,1.94,-98.13,4565.25,127.7914193
,6000902001J1,6000902001,총부채(천원)_증감,rate,,,16.52391124,1.938627689,-98.12773727,4565.245166,127.7914204
,3001701029J1,3001701029,EV(천원)_증감,rate,,,0.206001224,0.037651373,-1,50.76339908,1.071169099
,6000701061O0,6000701061,수정PBR(배),rate,,,1.825476943,1.125,0.04,396.83,5.284709298
,6000103001J1,6000103001,자기자본비율(%)_증감,rate,,,0.297237084,0.4,-66.53,87.36,8.732007897
,6000904001DA,6000904001,산업대비매출액비율,rate,,,0.037317759,0.005926297,0,8.055052122,0.176514404
